Segment,Day,From,To,AvgSpeed,BusCount
Shaul4,21,11:15:00,11:30:00,8.248608705485369,14
Shaul1,21,11:30:00,11:45:00,25.887050897144807,20
Shaul2,21,11:30:00,11:45:00,26.29459219615269,15
Shaul3,21,11:30:00,11:45:00,0,4
Shaul4,21,11:30:00,11:45:00,0,14
Shaul1,21,11:45:00,12:00:00,25.887050897144807,20
Shaul2,21,11:45:00,12:00:00,26.294592196152685,17
Shaul3,21,11:45:00,12:00:00,0,3
Shaul4,21,11:45:00,12:00:00,8.019480685888553,18
Shaul1,21,12:00:00,12:15:00,19.415288172858606,19
Shaul2,21,12:00:00,12:15:00,26.29459219615268,18
Shaul3,21,12:00:00,12:15:00,0,4
Shaul4,21,12:00:00,12:15:00,4.277056365807227,13
Shaul1,21,12:15:00,12:30:00,25.887050897144807,15
Shaul2,21,12:15:00,12:30:00,23.007768171633604,19
Shaul3,21,12:15:00,12:30:00,0,5
Shaul4,21,12:15:00,12:30:00,4.811688411533131,14
Shaul1,21,12:30:00,12:45:00,25.887050897144807,18
Shaul2,21,12:30:00,12:45:00,26.29459219615269,16
Shaul3,21,12:30:00,12:45:00,0,6
Shaul4,21,12:30:00,12:45:00,7.217532617299697,13
Shaul1,21,12:45:00,13:00:00,24.448881402858987,21
Shaul2,21,12:45:00,13:00:00,26.294592196152685,21
Shaul3,21,12:45:00,13:00:00,0,5
Shaul4,21,12:45:00,13:00:00,6.8165585830052695,16
Shaul1,21,13:00:00,13:15:00,17.25803393142987,16
Shaul2,21,13:00:00,13:15:00,26.29459219615269,14
Shaul3,21,13:00:00,13:15:00,5.992911036992531,8
Shaul4,21,13:00:00,13:15:00,8.019480685888553,14
Shaul1,21,13:15:00,13:30:00,25.887050897144807,17
Shaul2,21,13:15:00,13:30:00,26.29459219615269,16
Shaul3,21,13:15:00,13:30:00,0,7
Shaul4,21,13:15:00,13:30:00,7.6987014584530105,20
Shaul1,21,13:30:00,13:45:00,25.887050897144807,17
Shaul2,21,13:30:00,13:45:00,24.416407039284643,19
Shaul3,21,13:30:00,13:45:00,0,7
Shaul4,21,13:30:00,13:45:00,7.56122464669492,20
Shaul1,21,13:45:00,14:00:00,23.010711908573164,22
Shaul2,21,13:45:00,14:00:00,26.294592196152692,19
Shaul3,21,13:45:00,14:00:00,0,6
Shaul4,21,13:45:00,14:00:00,8.420454720182981,14
Shaul1,21,14:00:00,14:15:00,22.188900768981263,23
Shaul2,21,14:00:00,14:15:00,26.294592196152692,16
Shaul3,21,14:00:00,14:15:00,0,8
Shaul4,21,14:00:00,14:15:00,9.623376823066263,17
Shaul1,21,14:15:00,14:30:00,24.71036676545641,19
Shaul2,21,14:15:00,14:30:00,26.294592196152692,12
Shaul3,21,14:15:00,14:30:00,0,6
Shaul4,21,14:15:00,14:30:00,0,12
Shaul1,21,14:30:00,14:45:00,20.709640717715846,14
Shaul2,21,14:30:00,14:45:00,26.294592196152692,13
Shaul3,21,14:30:00,14:45:00,0,3
Shaul4,21,14:30:00,14:45:00,7.217532617299697,14
Shaul1,21,14:45:00,15:00:00,23.729796655716072,25
Shaul2,21,14:45:00,15:00:00,20.159187350383732,23
Shaul3,21,14:45:00,15:00:00,0,6
Shaul4,21,14:45:00,15:00:00,6.255194934993071,22
Shaul1,21,15:00:00,15:15:00,25.887050897144807,22
Shaul2,21,15:00:00,15:15:00,19.72094414711452,18
Shaul3,21,15:00:00,15:15:00,0,6
